id_area;id_programa;ies;nome_programa;inicio_mestrado;inicio_doutorado;conceito_recomendado;id_instituicao
4;31002013001P0;UFRRJ;QUÃMICA ORGÃ‚NICA;1966;1994;4;
4;26001012003P2;UFAL;QUÍMICA E BIOTECNOLOGIA;1992;2000;4;
4;31004016037P8;UERJ;QUÍMICA;2004;;4;
4;52001016035P5;UFG;QUÍMICA;;2006;4;
4;32006012011P4;UFU;QUÍMICA;1998;;4;
4;31003010047P0;UFF;QUÍMICA;2002;;4;
4;33093016004P8;UNIFRAN;CIÃŠNCIAS;2002;2006;3;
4;15001016007P7;UFPA;QUIMICA;1987;2005;3;
4;12001015002P7;UFAM;QUÍMICA;1987;;3;
4;31033016013P0;UENF;CIÃŠNCIAS NATURAIS;2003;2006;3;
4;40002012018P6;UEL;QUÍMICA DOS RECURSOS NATURAIS;2000;;3;
4;27001016010P1;FUFSE;QUIMICA;2003;;3;
4;30001013021P2;UFES;QUÍMICA;2006;;3;
4;40014010002P7;UNICENTRO;QUÍMICA APLICADA;2006;;3;
4;33078017003P0;UNICSUL;QUÍMICA;2005;;3;
4;21001014003P9;FUFPI;QUIMICA;1999;;3;
4;28006011003P0;UESB;QUIMICA;2005;;3;
4;31001017117P2;UFRJ;QUÍMICA ANALÍTICA;2001;;3;
4;52001016019P0;UFG;QUÍMICA;1999;;3;
4;51001012007P9;UFMS;QUÍMICA;1996;;3;
4;20001010004P2;UFMA;QUIMICA;1995;;3;
4;13001019003P6;UFRR;QUIMICA;2006;;3;
4;52012018001P1;UEG;CIÃŠNCIAS MOLECULARES;2006;;3;
4;41006011005P0;FURB;QUÍMICA;2002;;3;
4;40005011009P6;UEPG;QUÍMICA APLICADA;2005;;3;
4;28005015004P0;UNEB;QUÍMICA APLICADA;2006;;3;
5;42001013005P0;UFRGS;GEOCIÃŠNCIAS;1968;1968;7;
